,price,price_per_metr,rooms,floor,location,title,Date_add,Date_update,Size (m2),url
77,,, • 4 pokoje, • piętro 1,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,26.01.2023,17.07.2024,"94,54",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-94m2-mzn2041533774
78,,, • 2 pokoje, • piętro 5/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"43,40",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-43m2-mzn2042044078
79,1150000.0,15428.0, • 4 pokoje, • piętro 4/6,"Kraków, Kraków-Nowa Huta, Czyżyny, Sikorki",Nowoczesne mieszkanie z garażem / 4 - pokoje,19.05.2024,15.07.2024,"74,54",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-czyzyny-sikorki-74m2-mzn2043878211
80,,, • 2 pokoje, • piętro 5,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,14.02.2024,17.07.2024,"34,66",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-34m2-mzn2043330610
81,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"36,99",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-36m2-mzn2043641343
82,,, • 3 pokoje, • piętro 3,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,16.05.2023,17.07.2024,"51,67",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-51m2-mzn2042092386
83,714000.0,17410.0, • 2 pokoje, • piętro 1/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,29.04.2024,15.07.2024,"41,01",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-41m2-mzn2043781169
84,,, • 4 pokoje, • piętro 1,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,26.01.2023,17.07.2024,"68,86",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-68m2-mzn2041533834
85,1081000.0,17713.0, • 3 pokoje, • piętro 5/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,29.04.2024,15.07.2024,"61,03",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-61m2-mzn2043781101
86,,, • 2 pokoje, • piętro 7/7,"małopolskie, Kraków, ul. Ciesielskiego",Opis nieruchomości,13.03.2024,04.07.2024,"36,87",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-ciesielskiego-36m2-mzn2043488287
87,1564000.0,23000.0, • 3 pokoje, • piętro 13/14,"Kraków, Bronowice, Kraków, Stańczyka","Nowoczesne, widokowe 13p, ul Stańczyka",10.07.2024,12.07.2024,68,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-bronowice-stanczyka-68m2-mzn2044147994
88,,, • 2 pokoje, • parter,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,16.05.2023,17.07.2024,"39,84",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-39m2-mzn2042092351
89,,, • 2 pokoje, • piętro 1/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"37,41",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-37m2-mzn2042044064
90,720000.0,19293.0, • 2 pokoje, • piętro 1/3,"Kraków, Prądnik Biały, Henryka Pachońskiego",Na sprzedaż kawalerka wysoki standard Prądnik Biał,10.06.2024,18.06.2024,"37,32",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-henryka-pachonskiego-37m2-mzn2043992239
91,1159700.0,25950.0, • 2 pokoje, • piętro 2/3,"Kraków, Piotra Borowego 35",Wykończone pod klucz • Bezpośrednio • Inwestycyjne • Bez PCC • Balkon,29.04.2024,16.07.2024,"44,69",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-piotra-borowego-44m2-mzn2043781011
92,,, • 3 pokoje, • piętro 4,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,24.05.2024,17.07.2024,"51,06",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-51m2-mzn2043903371
93,,, • 4 pokoje, • piętro 2/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"67,65",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-67m2-mzn2043922327
94,,, • 2 pokoje, • piętro 7/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"46,31",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922366
95,,, • 2 pokoje, • piętro 5/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"44,99",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-44m2-mzn2043922351
96,,, • 3 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,05.03.2024,15.07.2024,"64,66",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-64m2-mzn2043447287
97,,, • 2 pokoje, • piętro 2/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"39,01",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-39m2-mzn2042044069
98,,, • 3 pokoje, • piętro 5,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,14.02.2024,17.07.2024,"65,12",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-65m2-mzn2043330608
99,,, • 2 pokoje, • piętro 3,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"38,87",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641200
100,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,10.04.2024,17.07.2024,"41,19",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-41m2-mzn2043641291
101,,, • 4 pokoje, • piętro 5/7,"małopolskie, Kraków, ul. Ciesielskiego",Opis nieruchomości,12.04.2024,04.07.2024,"72,26",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-ciesielskiego-72m2-mzn2043682201
102,,, • 2 pokoje, • parter,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,26.01.2023,17.07.2024,"36,49",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2041533825
103,,, • 3 pokoje, • piętro 2,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,03.07.2023,17.07.2024,"49,95",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-49m2-mzn2042319747
104,1045000.0,18244.0, • 3 pokoje, • piętro 7/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,17.06.2024,15.07.2024,"57,28",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-57m2-mzn2043027807
105,928560.0,13730.0, • 3 pokoje, • piętro 4/5,"Kraków, Prądnik Biały, Conrada 27",Opis nieruchomości,13.11.2023,15.07.2024,"67,63",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-conrada-27-67m2-mzn2042977713
106,,, • 4 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,05.03.2024,15.07.2024,"62,95",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-62m2-mzn2043447274
107,,, • 3 pokoje, • piętro 6/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,01.12.2023,17.07.2024,"45,14",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-45m2-mzn2042044083
108,,, • 2 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,05.03.2024,15.07.2024,"81,47",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-81m2-mzn2043447284
