,price,price_per_metr,rooms,floor,location,title,url
44,696000.0,18206.0, • 2 pokoje, • parter/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-38m2-mzn2043781168
45,,, • 3 pokoje, • piętro 3/3,"Kraków, Zabłocie, Zabłocie 20",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-zablocie-20-53m2-mzn2043735886
46,,, • 2 pokoje, • piętro 3/3,"Kraków, Zabłocie, Zabłocie 20",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-zablocie-20-41m2-mzn2043735896
47,,, • 2 pokoje, • piętro 6/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922361
48,,, • 2 pokoje, • piętro 8/8,"Kraków, Podgórze Duchackie, ul. Bochenka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-duchackie-bochenka-48m2-mzn2042518278
49,,, • 3 pokoje, • piętro 4/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-54m2-mzn2042044077
50,638980.0,15035.0, • 2 pokoje, • piętro 1/4,"Kraków, Bieżanów, Kraków, Potrzask 97d",GOTOWE do zamieszkania | 2 Pokoje + Garderoba w wysokim standardzie,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-biezanow-prokocim-potrzask-42m2-mzn2043925970
51,,, • 2 pokoje, • piętro 3/5,"małopolskie, Kraków, ul. Papierni Prądnickich 48",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-papierni-pradnickich-48-49m2-mzn2043486840
52,,, • 2 pokoje, • piętro 7/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-37m2-mzn2042044109
53,,, • 2 pokoje, • piętro 7/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922366
54,,, • 2 pokoje, • piętro 5/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-44m2-mzn2043922351
55,,, • 2 pokoje, • piętro 2/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-39m2-mzn2042044069
56,,, • 3 pokoje, • piętro 5,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-65m2-mzn2043330608
57,,, • 2 pokoje, • piętro 3,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641200
58,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-41m2-mzn2043641291
59,1045000.0,18244.0, • 3 pokoje, • piętro 7/7,"Kraków, Prądnik Biały, Wybickiego 5B",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-wybickiego-5b-57m2-mzn2043027807
60,,, • 4 pokoje, • piętro 5/7,"małopolskie, Kraków, ul. Ciesielskiego",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-ciesielskiego-72m2-mzn2043682201
61,,, • 2 pokoje, • parter,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2041533825
62,,, • 3 pokoje, • piętro 2,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-49m2-mzn2042319747
63,,, • 4 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-62m2-mzn2043447274
64,,, • 3 pokoje, • parter/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-64m2-mzn2043447269
65,,, • 2 pokoje, • piętro 4/5,"Kraków, Podgórze, Myśliwska 68",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-mysliwska-68-44m2-mzn2043447284
66,,, • 3 pokoje, • piętro 6/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-45m2-mzn2042044083
67,,, • 2 pokoje, • piętro 6/9,"Kraków, Mistrzejowice, ul. Piasta Kołodzieja",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-mistrzejowice-piasta-kolodzieja-39m2-mzn2042044084
68,,, • 2 pokoje, • piętro 4,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-38m2-mzn2043641203
69,,, • 2 pokoje, • piętro 4/7,"małopolskie, Kraków, ul. Ciesielskiego",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-ciesielskiego-37m2-mzn2043682200
70,956260.0,13960.0, • 3 pokoje, • piętro 5/5,"Kraków, Prądnik Biały, Conrada 27",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-conrada-27-68m2-mzn2042977732
71,,, • 4 pokoje, • piętro 3,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-94m2-mzn2041533782
72,,, • 2 pokoje, • piętro 7,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2043903396
73,,, • 5 pokoi, • piętro 5,"Kraków, Prądnik Biały, Banacha, ul. Zauchy 6",Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-zauchy-6-89m2-mzn2043330626
